category,filename,duration_seconds,description,tags
reels,reel_tick_01.wav,0.04,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_02.wav,0.044,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_03.wav,0.036,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_04.wav,0.04,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_05.wav,0.044,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_06.wav,0.036,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_07.wav,0.04,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_tick_08.wav,0.044,Short repeatable reel tick,"reel,tick,mechanical"
reels,reel_spinup_01.wav,0.55,Reel acceleration / spin-up,"reel,spinup,transition"
reels,reel_spinup_02.wav,0.55,Reel acceleration / spin-up,"reel,spinup,transition"
reels,reel_spinup_03.wav,0.55,Reel acceleration / spin-up,"reel,spinup,transition"
reels,reel_spindown_01.wav,0.65,Reel deceleration / spin-down,"reel,spindown,transition"
reels,reel_spindown_02.wav,0.65,Reel deceleration / spin-down,"reel,spindown,transition"
reels,reel_spindown_03.wav,0.65,Reel deceleration / spin-down,"reel,spindown,transition"
reels,reel_stop_01.wav,0.12,Reel stop thud/click,"reel,stop,impact"
reels,reel_stop_02.wav,0.12,Reel stop thud/click,"reel,stop,impact"
reels,reel_stop_03.wav,0.12,Reel stop thud/click,"reel,stop,impact"
buttons,button_soft_click_01.wav,0.06,Button/UI press sound,"button,ui,press"
buttons,button_soft_click_02.wav,0.055,Button/UI press sound,"button,ui,press"
buttons,button_confirm_01.wav,0.09,Button/UI press sound,"button,ui,press"
buttons,button_confirm_02.wav,0.08,Button/UI press sound,"button,ui,press"
buttons,button_cancel_01.wav,0.08,Button/UI press sound,"button,ui,press"
buttons,button_cancel_02.wav,0.09,Button/UI press sound,"button,ui,press"
buttons,button_spin_01.wav,0.12,Button/UI press sound,"button,ui,press"
buttons,button_spin_02.wav,0.12,Button/UI press sound,"button,ui,press"
buttons,button_big_press_01.wav,0.15,Button/UI press sound,"button,ui,press"
buttons,button_big_press_02.wav,0.14,Button/UI press sound,"button,ui,press"
buttons,button_toggle_on.wav,0.07,Button/UI press sound,"button,ui,press"
buttons,button_toggle_off.wav,0.07,Button/UI press sound,"button,ui,press"
ui,ui_hover_01.wav,0.07,General interface sound,"ui,interface"
ui,ui_hover_02.wav,0.07,General interface sound,"ui,interface"
ui,ui_open_01.wav,0.18,General interface sound,"ui,interface"
ui,ui_close_01.wav,0.18,General interface sound,"ui,interface"
ui,ui_tab_change_01.wav,0.1,General interface sound,"ui,interface"
ui,ui_tab_change_02.wav,0.1,General interface sound,"ui,interface"
ui,ui_error_01.wav,0.18,General interface sound,"ui,interface"
ui,ui_error_02.wav,0.16,General interface sound,"ui,interface"
ui,ui_notification_01.wav,0.16,General interface sound,"ui,interface"
ui,ui_notification_02.wav,0.16,General interface sound,"ui,interface"
coins,coin_drop_01.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_drop_02.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_drop_03.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_drop_04.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_drop_05.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_drop_06.wav,0.12,Single coin / credit ping,"coin,credit,ping"
coins,coin_count_01.wav,0.55,Multiple credits/coin count-up,"coin,credits,count"
coins,coin_count_02.wav,0.55,Multiple credits/coin count-up,"coin,credits,count"
coins,coin_count_03.wav,0.55,Multiple credits/coin count-up,"coin,credits,count"
losses,lose_soft_01.wav,0.45,Loss / no-win feedback,"lose,loss,negative"
losses,lose_soft_02.wav,0.5,Loss / no-win feedback,"lose,loss,negative"
losses,lose_buzz_01.wav,0.35,Loss / no-win feedback,"lose,loss,negative"
losses,lose_buzz_02.wav,0.38,Loss / no-win feedback,"lose,loss,negative"
losses,no_win_01.wav,0.25,Loss / no-win feedback,"lose,loss,negative"
losses,no_win_02.wav,0.28,Loss / no-win feedback,"lose,loss,negative"
wins_small,win_small_01.wav,0.45,Short pleasant small win,"win,small,reward"
wins_small,win_small_02.wav,0.42,Short pleasant small win,"win,small,reward"
wins_small,win_small_03.wav,0.45,Short pleasant small win,"win,small,reward"
